species_id	sample_id	sra_sr	sra_lr	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Organism	SRA Accession	GenBank Chromosome Accession	GenBank Plasmid Accession	Molecule Length	Assembly Method
abau	SAMN41384382	SRR29012381	SRR29012380	GCA_039780165.1	ASM3978016v1	Acinetobacter baumannii		D13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4112033	4	Complete Genome	2024-05-23		4089266	4							Illumina HiSeq; Oxford Nanopore MinION	School of Life and Environmental Sciences, The University of Sydney	PRJNA812075	SAMN41384382	4016	Acinetobacter baumannii	SRS21284111; ILLUMINA:SRR29012381; OXFORD_NANOPORE:SRR29012380	CP156044.1	CP156047.1; CP156046.1; CP156045.1	CP156047.1:4000; CP156046.1:8923; CP156045.1:9844; CP156044.1:4089266	Unicycler v. 0.4.0
abau	SAMN19774653	SRR14862612	SRR14862582	GCA_023517695.1	ASM2351769v1	Acinetobacter baumannii		DETAB-P90					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4160315	3	Complete Genome	2022-05-23		4078332	3							Illumina; Oxford Nanopore	University of Birmingham	PRJNA738868	SAMN19774653	4054	Acinetobacter baumannii	SRS9237724; ILLUMINA:SRR14862612; OXFORD_NANOPORE:SRR14862582	CP077840.1	CP077842.1; CP077841.1	CP077842.1:11194; CP077841.1:70789; CP077840.1:4078332	Unicycler v. 0.4.8
abau	SAMN30898357	SRR21607497	SRR21607575	GCA_025854155.1	ASM2585415v1	Acinetobacter baumannii		1326924-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4142911	3	Complete Genome	2022-10-26		4064267	3							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898357	4034	Acinetobacter baumannii	SRS15144913; ILLUMINA:SRR21607497; OXFORD_NANOPORE:SRR21607575	CP107605.1	CP107607.1; CP107606.1	CP107607.1:11625; CP107606.1:67019; CP107605.1:4064267	Unicycler v. 0.5.0
abau	SAMN30898321	SRR21607536	SRR21607614	GCA_025854015.1	ASM2585401v1	Acinetobacter baumannii		1326569					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4141496	3	Complete Genome	2022-10-26		4062852	3							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898321	4030	Acinetobacter baumannii	SRS15144874; ILLUMINA:SRR21607536; OXFORD_NANOPORE:SRR21607614	CP107590.1	CP107592.1; CP107591.1	CP107592.1:11625; CP107591.1:67019; CP107590.1:4062852	Unicycler v. 0.5.0
abau	SAMN30898316	SRR21607493	SRR21607571	GCA_025853995.1	ASM2585399v1	Acinetobacter baumannii		1326527-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4135958	3	Complete Genome	2022-10-26		4057314	3							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898316	4022	Acinetobacter baumannii	SRS15144917; ILLUMINA:SRR21607493; OXFORD_NANOPORE:SRR21607571	CP107587.1	CP107589.1; CP107588.1	CP107589.1:11625; CP107588.1:67019; CP107587.1:4057314	Unicycler v. 0.5.0
abau	SAMN40254326	SRR28217779	SRR28926166	GCA_037008745.2	ASM3700874v2	Acinetobacter baumannii		2024CK-00246					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4239050	3	Complete Genome	2024-05-21		4056338	3							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN40254326	4129	Acinetobacter baumannii	SRS20651919; ILLUMINA:SRR28217779; OXFORD_NANOPORE:SRR28375015; OXFORD_NANOPORE:SRR28926166	CP155721.1	CP155723.1; CP155722.1	CP155723.1:75286; CP155722.1:107426; CP155721.1:4056338	Unicycler v. 0.5.0
abau	SAMN28871714	SRR20613520	SRR20613519	GCA_024426665.1	ASM2442666v1	Acinetobacter baumannii		Cl107					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4254951	2	Complete Genome	2022-07-25		4056235	2							Illumina MiSeq; Oxford Nanopore MinION	Lebanese University	PRJNA846279	SAMN28871714	4090	Acinetobacter baumannii	SRS14271859; ILLUMINA:SRR20613520; OXFORD_NANOPORE:SRR20613519	CP098521.1	CP098522.1	CP098522.1:198716; CP098521.1:4056235	Unicycler v. v0.4.7
abau	SAMN41094848	SRR28815869	SRR29090063	GCA_038627335.2	ASM3862733v2	Acinetobacter baumannii		2024CK-00546					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4261453	4	Complete Genome	2024-05-28		4055299	4							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN41094848	4159	Acinetobacter baumannii	SRS21135310; ILLUMINA:SRR28815869; OXFORD_NANOPORE:SRR29090063	CP156933.1	CP156936.1; CP156935.1; CP156934.1	CP156936.1:20549; CP156935.1:78179; CP156934.1:107426; CP156933.1:4055299	Unicycler v. 0.5.0
abau	SAMN28788543	SRR19462105	SRR22756116	GCA_023615345.2	ASM2361534v2	Acinetobacter baumannii		2022CK-00317					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4155747	2	Complete Genome	2023-01-17		4048321	2							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN28788543	4027	Acinetobacter baumannii	SRS13228546; ILLUMINA:SRR19462105; OXFORD_NANOPORE:SRR22756116	CP115643.1	CP115644.1	CP115644.1:107426; CP115643.1:4048321	Unicycler v. 0.5.0
abau	SAMN38788845	SRR27185910	SRR27710531	GCA_034331205.2	ASM3433120v2	Acinetobacter baumannii		2023CK-01512					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4238657	5	Complete Genome	2024-02-01		4040533	5							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN38788845	4162	Acinetobacter baumannii	SRS19840293; ILLUMINA:SRR27185910; OXFORD_NANOPORE:SRR27710531	CP143348.1	CP143349.1; CP143352.1; CP143351.1; CP143350.1	CP143349.1:108159; CP143352.1:2025; CP143351.1:14639; CP143350.1:73301; CP143348.1:4040533	Unicycler v. 0.5.0
abau	SAMN28788563	SRR19462083	SRR22756113	GCA_023615705.2	ASM2361570v2	Acinetobacter baumannii		2022CK-00337					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4112492	3	Complete Genome	2023-01-17		4032528	3							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN28788563	4010	Acinetobacter baumannii	SRS13228568; ILLUMINA:SRR19462083; OXFORD_NANOPORE:SRR22756113	CP115629.1	CP115631.1; CP115630.1	CP115631.1:8731; CP115630.1:71233; CP115629.1:4032528	Unicycler v. 0.5.0
abau	SAMN34191879	SRR24175237	SRR25213974	GCA_029767905.3	ASM2976790v3	Acinetobacter baumannii		2023CK-00423					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4104895	3	Complete Genome	2023-08-05		4023158	3							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN34191879	3998	Acinetobacter baumannii	SRS17319586; ILLUMINA:SRR24175237; OXFORD_NANOPORE:SRR25213974	CP130921.1	CP130923.1; CP130922.1	CP130923.1:8731; CP130922.1:73006; CP130921.1:4023158	Unicycler v. 0.5.0
abau	SAMN08687991	SRR6826835	SRR12937579	GCA_015910475.1	ASM1591047v1	Acinetobacter baumannii		ATCC 17961					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4032448	3	Complete Genome	2020-12-10		4016386	3							Illumina MiSeq; Oxford Nanopore MinION	East Carolina University	PRJNA437968	SAMN08687991	3878	Acinetobacter baumannii	SRS3036266; ILLUMINA:SRR6826835; OXFORD_NANOPORE:SRR12937579	CP065432.1	CP065434.1; CP065433.1	CP065434.1:6667; CP065433.1:9395; CP065432.1:4016386	Unicycler v. v0.4.3
abau	SAMN38646042	SRR27050468	SRR27710535	GCA_034126645.2	ASM3412664v2	Acinetobacter baumannii		2023CK-01487					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4120089	2	Complete Genome	2024-02-01		4009122	2							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN38646042	3986	Acinetobacter baumannii	SRS19728482; ILLUMINA:SRR27050468; OXFORD_NANOPORE:SRR27710535	CP143344.1	CP143345.1	CP143345.1:110967; CP143344.1:4009122	Unicycler v. 0.5.0
abau	SAMN21240079	SRR15725578	SRR15725577	GCA_020132105.1	ASM2013210v1	Acinetobacter baumannii		Cl300					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4016584	2	Complete Genome	2021-09-24		4007379	2							Illumina; Oxford Nanopore	University of Technology Sydney	PRJNA607827	SAMN21240079	3843	Acinetobacter baumannii	SRS10025729; ILLUMINA:SRR15725578; OXFORD_NANOPORE:SRR15725577	CP082952.1	CP082953.1	CP082953.1:9205; CP082952.1:4007379	Unicycler v. 1.0
abau	SAMN39998251	SRR28015256	SRR28375026	GCA_036718155.2	ASM3671815v2	Acinetobacter baumannii		2024CK-00130					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4033449	3	Complete Genome	2024-03-31		4004850	3							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN39998251	3920	Acinetobacter baumannii	SRS20498488; ILLUMINA:SRR28015256; OXFORD_NANOPORE:SRR28375026	CP149838.1	CP149840.1; CP149839.1	CP149840.1:8963; CP149839.1:19636; CP149838.1:4004850	unicycler v. 0.5.0
abau	SAMN19774628	SRR14862505	SRR14862585	GCA_023517235.1	ASM2351723v1	Acinetobacter baumannii		DETAB-P65					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4072975	2	Complete Genome	2022-05-23		3999531	2							Illumina; Oxford Nanopore	University of Birmingham	PRJNA738868	SAMN19774628	3870	Acinetobacter baumannii	SRS9237750; OXFORD_NANOPORE:SRR14862585; ILLUMINA:SRR14862505	CP077835.1	CP077836.1	CP077836.1:73444; CP077835.1:3999531	Unicycler v. 0.4.8
abau	SAMN07445112	SRR5891495	SRR5891496	GCA_002761575.1	ASM276157v1	Acinetobacter baumannii		AYP-A2					Annotation submitted by The University of Melbourne	4102702	2	Complete Genome	2017-11-07		3991735	2							Illumina HiSeq; Oxford Nanopore	The University of Melbourne	PRJNA396979	SAMN07445112	3987	Acinetobacter baumannii	SRS2403200; OXFORD_NANOPORE:SRR5891496; ILLUMINA:SRR5891495	CP024124.1	CP024125.1	CP024124.1:3991735; CP024125.1:110967	Unicycler v. v0.3.1
abau	SAMN40443483	SRR28335983	SRR28926173	GCA_039654205.1	ASM3965420v1	Acinetobacter baumannii		2024CK-00247					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4187143	5	Complete Genome	2024-05-16		3989019	5							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN40443483	4081	Acinetobacter baumannii	SRS20746043; ILLUMINA:SRR28335983; OXFORD_NANOPORE:SRR28926173	CP155476.1	CP155480.1; CP155479.1; CP155478.1; CP155477.1	CP155480.1:2025; CP155479.1:14639; CP155478.1:73301; CP155477.1:108159; CP155476.1:3989019	Unicycler v. 0.5.0
abau	SAMN19762632	SRR14852385	SRR14852539	GCA_023517715.1	ASM2351771v1	Acinetobacter baumannii		DETAB-E155					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4037352	3	Complete Genome	2022-05-23		3987206	3							Illumina; Oxford Nanopore	University of Birmingham	PRJNA738868	SAMN19762632	3875	Acinetobacter baumannii	SRS9229089; ILLUMINA:SRR14852385; OXFORD_NANOPORE:SRR14852539	CP077843.1	CP077845.1; CP077844.1	CP077845.1:11194; CP077844.1:38952; CP077843.1:3987206	Unicycler v. 0.4.8
abau	SAMN40254323	SRR28217782	SRR28375016	GCA_037008665.2	ASM3700866v2	Acinetobacter baumannii		2024CK-00250					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4181773	5	Complete Genome	2024-03-31		3983649	5							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN40254323	4075	Acinetobacter baumannii	SRS20651916; ILLUMINA:SRR28217782; OXFORD_NANOPORE:SRR28375016	CP149831.1	CP149835.1; CP149834.1; CP149833.1; CP149832.1	CP149835.1:2025; CP149834.1:14639; CP149833.1:73301; CP149832.1:108159; CP149831.1:3983649	unicycler v. 0.5.0
abau	SAMN31494247	SRR22070827	SRR22070826	GCA_026062515.1	ASM2606251v1	Acinetobacter baumannii		RBH2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4422798	7	Complete Genome	2022-11-08		3983259	7							Oxford Nanopore MinION; Illumina HiSeq	The University of Sydney	PRJNA893697	SAMN31494247	4279	Acinetobacter baumannii	SRS15557538; ILLUMINA:SRR22070827; OXFORD_NANOPORE:SRR22070826	CP110462.1	CP110463.1; CP110468.1; CP110466.1; CP110465.1; CP110464.1; CP110467.1	CP110462.1:3983259; CP110463.1:6078; CP110468.1:141033; CP110466.1:80243; CP110465.1:75126; CP110464.1:12952; CP110467.1:124107	Unicycler v. 0.4.0
abau	SAMN41020287	SRR28747399	SRR29099106	GCA_038418365.2	ASM3841836v2	Acinetobacter baumannii		2024CK-00462					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4087516	3	Complete Genome	2024-06-02		3980841	3							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN41020287	4011	Acinetobacter baumannii	SRS21074869; ILLUMINA:SRR28747399; OXFORD_NANOPORE:SRR29099106	CP157257.1	CP157259.1; CP157258.1	CP157259.1:2024; CP157258.1:104651; CP157257.1:3980841	Unicycler v. 0.5.0
abau	SAMN19762585	SRR14852437	SRR14852546	GCA_023517155.1	ASM2351715v1	Acinetobacter baumannii		DETAB-E108					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4091717	2	Complete Genome	2022-05-23		3980750	2							Illumina; Oxford Nanopore	University of Birmingham	PRJNA738868	SAMN19762585	3935	Acinetobacter baumannii	SRS9229036; ILLUMINA:SRR14852437; OXFORD_NANOPORE:SRR14852546	CP077826.1	CP077827.1	CP077827.1:110967; CP077826.1:3980750	Unicycler v. 0.4.8
abau	SAMN19762636	SRR14852381	SRR14852537	GCA_023517255.1	ASM2351725v1	Acinetobacter baumannii		DETAB-E159					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4061599	3	Complete Genome	2022-05-23		3980610	3							Illumina; Oxford Nanopore	University of Birmingham	PRJNA738868	SAMN19762636	3916	Acinetobacter baumannii	SRS9229093; ILLUMINA:SRR14852381; OXFORD_NANOPORE:SRR14852537	CP077837.1	CP077839.1; CP077838.1	CP077839.1:8731; CP077838.1:72258; CP077837.1:3980610	Unicycler v. 0.4.8
abau	SAMN19774606	SRR14862530	SRR14862589	GCA_023517215.1	ASM2351721v1	Acinetobacter baumannii		DETAB-P43					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4071554	3	Complete Genome	2022-05-23		3978561	3							Illumina; Oxford Nanopore	University of Birmingham	PRJNA738868	SAMN19774606	3928	Acinetobacter baumannii	SRS9237747; OXFORD_NANOPORE:SRR14862589; ILLUMINA:SRR14862530	CP077832.1	CP077834.1; CP077833.1	CP077834.1:8731; CP077833.1:84262; CP077832.1:3978561	Unicycler v. 0.4.8
abau	SAMN25755497	SRR17944003	SRR22756112	GCA_022107375.2	ASM2210737v2	Acinetobacter baumannii		2022CK-00063					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3997151	2	Complete Genome	2023-01-17		3977492	2							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN25755497	3859	Acinetobacter baumannii	SRS11927050; ILLUMINA:SRR17944003; OXFORD_NANOPORE:SRR22756112	CP115632.1	CP115633.1	CP115633.1:19659; CP115632.1:3977492	Unicycler v. 0.5.0
abau	SAMN30898327	SRR21607530	SRR21607608	GCA_025854135.1	ASM2585413v1	Acinetobacter baumannii		1326595					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3996530	2	Complete Genome	2022-10-26		3976868	2							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898327	3848	Acinetobacter baumannii	SRS15144880; ILLUMINA:SRR21607530; OXFORD_NANOPORE:SRR21607608	CP107603.1	CP107604.1	CP107604.1:19662; CP107603.1:3976868	Unicycler v. 0.5.0
abau	SAMN10261544	SRR8081620	SRR8885335	GCA_003949595.2	ASM394959v2	Acinetobacter baumannii		TG22182					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4052320	3	Complete Genome	2019-05-09		3975485	3							Illumina MiSeq; Oxford Nanopore MiniION	Northern Arizona University	PRJNA497581	SAMN10261544	3951	Acinetobacter baumannii	SRS3954088; ILLUMINA:SRR8080859; ILLUMINA:SRR8081623; ILLUMINA:SRR8081622; ILLUMINA:SRR8081620; OXFORD_NANOPORE:SRR8885335	CP039993.1	CP039995.1; CP039994.1	CP039995.1:5602; CP039994.1:71233; CP039993.1:3975485	UniCycler v. v0.4.8-beta
abau	SAMN12287002	SRR11096093	SRR11096311	GCA_030585285.1	ASM3058528v1	Acinetobacter baumannii		18WIARLN0023					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4094766	3	Complete Genome	2023-08-02		3972920	3							Illumina MiSeq and Oxford Nanopore MinION	Wisconsin State Laboratory of Hygiene	PRJNA557486	SAMN12287002	3999	Acinetobacter baumannii	SRS6155107; ILLUMINA:SRR11096093; OXFORD_NANOPORE:SRR11096311	CP043462.1	CP043464.1; CP043463.1	CP043464.1:10879; CP043463.1:110967; CP043462.1:3972920	Unicycler v. 0.4.7
abau	SAMN15646564	SRR15912612	SRR12328711	GCA_019903155.1	ASM1990315v1	Acinetobacter baumannii		E-011922					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4106662	4	Complete Genome	2021-09-08		3970467	4							Illumina MiSeq; Oxford Nanopore MiniION	University of Technology Sydney	PRJNA607827	SAMN15646564	3929	Acinetobacter baumannii	SRS7093213; OXFORD_NANOPORE:SRR12328711; ILLUMINA:SRR12328721; ILLUMINA:SRR15912612	CP059542.1	CP059545.1; CP059544.1; CP059543.1	CP059545.1:7369; CP059544.1:11020; CP059543.1:117806; CP059542.1:3970467	Unicycler v. v1
abau	SAMN41384381	SRR29012377	SRR29012376	GCA_039779435.1	ASM3977943v1	Acinetobacter baumannii		D78					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4061385	3	Complete Genome	2024-05-23		3969673	3							Illumina HiSeq; Oxford Nanopore MinION	School of Life and Environmental Sciences, The University of Sydney	PRJNA812075	SAMN41384381	3909	Acinetobacter baumannii	SRS21284108; ILLUMINA:SRR29012377; OXFORD_NANOPORE:SRR29012376	CP156041.1	CP156043.1; CP156042.1	CP156043.1:17641; CP156042.1:74071; CP156041.1:3969673	Unicycler v. 0.4.0
abau	SAMN30898326	SRR21607531	SRR21607609	GCA_025854115.1	ASM2585411v1	Acinetobacter baumannii		1326589					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3985960	2	Complete Genome	2022-10-26		3966293	2							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898326	3843	Acinetobacter baumannii	SRS15144879; ILLUMINA:SRR21607531; OXFORD_NANOPORE:SRR21607609	CP107601.1	CP107602.1	CP107602.1:19667; CP107601.1:3966293	Unicycler v. 0.5.0
abau	SAMN30898315	SRR21607504	SRR21607582	GCA_025853975.1	ASM2585397v1	Acinetobacter baumannii		1326527-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3985873	2	Complete Genome	2022-10-26		3966206	2							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898315	3844	Acinetobacter baumannii	SRS15144906; ILLUMINA:SRR21607504; OXFORD_NANOPORE:SRR21607582	CP107585.1	CP107586.1	CP107586.1:19667; CP107585.1:3966206	Unicycler v. 0.5.0
abau	SAMN30898328	SRR21607529	SRR21607607	GCA_025854175.1	ASM2585417v1	Acinetobacter baumannii		1326924-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3984819	2	Complete Genome	2022-10-26		3965152	2							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898328	3842	Acinetobacter baumannii	SRS15144881; ILLUMINA:SRR21607529; OXFORD_NANOPORE:SRR21607607	CP107608.1	CP107609.1	CP107609.1:19667; CP107608.1:3965152	Unicycler v. 0.5.0
abau	SAMN30898330	SRR21607527	SRR21607605	GCA_025854215.1	ASM2585421v1	Acinetobacter baumannii		1326927-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3984327	2	Complete Genome	2022-10-26		3964660	2							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898330	3840	Acinetobacter baumannii	SRS15144883; ILLUMINA:SRR21607527; OXFORD_NANOPORE:SRR21607605	CP107612.1	CP107613.1	CP107613.1:19667; CP107612.1:3964660	Unicycler v. 0.5.0
abau	SAMN10261537	SRR8081612	SRR8885334	GCA_003949725.2	ASM394972v2	Acinetobacter baumannii		TG29392					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4113446	4	Complete Genome	2019-05-09		3963137	4							Illumina MiSeq; Oxford Nanopore MiniION	Northern Arizona University	PRJNA497581	SAMN10261537	3980	Acinetobacter baumannii	SRS3954058; ILLUMINA:SRR8080890; ILLUMINA:SRR8081615; ILLUMINA:SRR8081614; ILLUMINA:SRR8081612; OXFORD_NANOPORE:SRR8885334	CP039930.1	CP039933.1; CP039932.1; CP039931.1	CP039933.1:10255; CP039932.1:55269; CP039931.1:84785; CP039930.1:3963137	Unicycler v. v0.4.8-beta
abau	SAMN30898313	SRR21607526	SRR21607604	GCA_025853935.1	ASM2585393v1	Acinetobacter baumannii		1326525-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3981538	2	Complete Genome	2022-10-26		3961871	2							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898313	3839	Acinetobacter baumannii	SRS15144884; ILLUMINA:SRR21607526; OXFORD_NANOPORE:SRR21607604	CP107581.1	CP107582.1	CP107582.1:19667; CP107581.1:3961871	Unicycler v. 0.5.0
abau	SAMN30898312	SRR21607537	SRR21607615	GCA_025853915.1	ASM2585391v1	Acinetobacter baumannii		1326525-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3981503	2	Complete Genome	2022-10-26		3961836	2							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898312	3836	Acinetobacter baumannii	SRS15144873; ILLUMINA:SRR21607537; OXFORD_NANOPORE:SRR21607615	CP107579.1	CP107580.1	CP107580.1:19667; CP107579.1:3961836	Unicycler v. 0.5.0
abau	SAMN30898314	SRR21607515	SRR21607593	GCA_025853955.1	ASM2585395v1	Acinetobacter baumannii		1326525-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3981111	2	Complete Genome	2022-10-26		3961448	2							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898314	3836	Acinetobacter baumannii	SRS15144895; ILLUMINA:SRR21607515; OXFORD_NANOPORE:SRR21607593	CP107583.1	CP107584.1	CP107584.1:19663; CP107583.1:3961448	Unicycler v. 0.5.0
abau	SAMN30898324	SRR21607533	SRR21607611	GCA_025854075.1	ASM2585407v1	Acinetobacter baumannii		1326581-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3979211	2	Complete Genome	2022-10-26		3959544	2							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898324	3831	Acinetobacter baumannii	SRS15144877; ILLUMINA:SRR21607533; OXFORD_NANOPORE:SRR21607611	CP107597.1	CP107598.1	CP107598.1:19667; CP107597.1:3959544	Unicycler v. 0.5.0
abau	SAMN30655645	SRR21410233	SRR22756124	GCA_024922185.2	ASM2492218v2	Acinetobacter baumannii		2022CK-00480					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3976544	2	Complete Genome	2023-01-17		3957770	2							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN30655645	3821	Acinetobacter baumannii	SRS14972699; ILLUMINA:SRR21410233; OXFORD_NANOPORE:SRR22756124	CP115621.1	CP115622.1	CP115622.1:18774; CP115621.1:3957770	Unicycler v. 0.5.0
abau	SAMN28788566	SRR19462080	SRR22756123	GCA_023615745.2	ASM2361574v2	Acinetobacter baumannii		2022CK-00340					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4048078	3	Complete Genome	2023-01-17		3957706	3							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN28788566	3917	Acinetobacter baumannii	SRS13228572; ILLUMINA:SRR19462080; OXFORD_NANOPORE:SRR22756123	CP115623.1	CP115625.1; CP115624.1	CP115625.1:18774; CP115624.1:71598; CP115623.1:3957706	Unicycler v. 0.5.0
abau	SAMN30898323	SRR21607534	SRR21607612	GCA_025854055.1	ASM2585405v1	Acinetobacter baumannii		1326581-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3975640	2	Complete Genome	2022-10-26		3955973	2							Illumina; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898323	3829	Acinetobacter baumannii	SRS15144876; ILLUMINA:SRR21607534; OXFORD_NANOPORE:SRR21607612	CP107595.1	CP107596.1	CP107596.1:19667; CP107595.1:3955973	Unicycler v. 0.5.0
abau	SAMN30898311	SRR21607538	SRR21607616	GCA_025853895.1	ASM2585389v1	Acinetobacter baumannii		1326359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3975384	2	Complete Genome	2022-10-26		3955717	2							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812594	SAMN30898311	3825	Acinetobacter baumannii	SRS15144872; ILLUMINA:SRR21607538; OXFORD_NANOPORE:SRR21607616	CP107577.1	CP107578.1	CP107578.1:19667; CP107577.1:3955717	Unicycler v. 0.5.0
