species_id	sample_id	long_reads	short_reads	long_read_type	Isolate	Assembly Accession	Animal or WwTW	Isolate source information	Timepoint	Niche	Niche.2	Location	Genus	Species	ST assignment	Circularised plasmids	Number of contigs	Circularised chromosome (1=yes)	Total genome size (bp)	Chromosome GC (if known)	Phylogroup (E. coli only)	Alternative isolate name
ecol	SAMN15148178	SRR12298479	SRR11948648	Nanopore	RH10|T2-C11	GCA_013890995.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH10	Escherichia	Escherichia coli	5971	1	2	1	5242135	50.6	Unknown	RHB20-C11
eclo	SAMN15148743	SRR12299068	SRR11949352	Nanopore	WTP1|T3-00916	GCA_013726395.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP1	Upstream	WTP1	Enterobacter	Enterobacter cloacae	NA	3	4	1	4849166	55.4	NA	RHBSTW-00916
ecol	SAMN15148248	SRR12298806	SRR11949062	Nanopore	RH09|T2-C12	GCA_013834305.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH09	Escherichia	Escherichia coli	906	2	3	1	5057380	50.8	B1	RHB26-C12
cfre	SAMN15148357	SRR12299111	SRR11949379	Nanopore	RH06|T3-C22	GCA_013816335.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH06	Citrobacter	Citrobacter freundii	NA	0	1	1	5112880	51.6	NA	RHB35-C22
ecol	SAMN15147995	SRR12298540	SRR11949159	PacBio	RH12|T1-C01	GCA_013922565.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH12	Escherichia	Escherichia coli	297	2	3	1	5148794	50.7	B1	RHB05-C01
cfre	SAMN15148518	SRR12298390	SRR11948799	PacBio	WTP1|T1-00153	GCA_013707835.1	WTP	Wastewater effluent sample	1	WTP1	Effluent	WTP1	Citrobacter	Citrobacter freundii	95	5	25	1	5508166	51.9	NA	RHBSTW-00153
ecol	SAMN15148201	SRR12298907	SRR11949121	Nanopore	RH07|T2-C05	GCA_013887055.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH07	Escherichia	Escherichia coli	1665	2	3	1	5085419	50.7	B1	RHB22-C05
efer	SAMN15148313	SRR12298636	SRR11948755	Nanopore	RH13|T3-C05	GCA_013820845.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH13	Escherichia	Escherichia fergusonii	NA	3	4	1	5053207	50	fergusonii	RHB32-C05
ecol	SAMN15148128	SRR12298583	SRR11949070	Nanopore	RH11|T2-C24	GCA_014105435.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH11	Escherichia	Escherichia coli	NA	2	18	0	5253856	NA	B1	RHB15-C24
ecol	SAMN15148327	SRR12298620	SRR11949189	Nanopore	RH14|T3-C08	GCA_013818885.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia coli	5766	2	3	1	5181984	50.9	A	RHB33-C08
cfre	SAMN15148500	SRR12298410	SRR11948809	Nanopore	WTP1|T1-00126	GCA_013791615.1	WTP	Wastewater influent sample	1	WTP1	Influent	WTP1	Citrobacter	Citrobacter freundii	111	2	3	1	5031117	52	NA	RHBSTW-00126
ecol	SAMN15148008	SRR12298920	SRR11949090	PacBio	RH14|T1-C03	GCA_013921965.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	2598	7	8	1	5106907	50.8	B1	RHB06-C03
ecol	SAMN15148155	SRR12298553	SRR11949284	Nanopore	RH13|T2-C10	GCA_014105315.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH13	Escherichia	Escherichia coli	5614	1	8	0	4925867	NA	B1	RHB18-C10
ecol	SAMN15148746	SRR12299065	SRR11949349	Nanopore	WTP1|T3-00933	GCA_013725775.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP1	Upstream	WTP1	Escherichia	Escherichia coli	666	1	2	1	4898149	50.8	B1	RHBSTW-00933
ecol	SAMN15148041	SRR12298948	SRR11949426	Nanopore	RH06|T1-C23	GCA_013900045.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	1510	3	4	1	5197330	50.9	A	RHB08-C23
ecol	SAMN15148211	SRR12298896	SRR11949222	Nanopore	RH12|T2-C04	GCA_013885335.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	155	3	4	1	4980759	50.7	B1	RHB23-C04
ecol	SAMN15148216	SRR12298891	SRR11949217	Nanopore	RH12|T2-C11	GCA_013884735.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	603	1	2	1	5012648	50.8	B1	RHB23-C11
kpne	SAMN15148738	SRR12299121	SRR11948715	Nanopore	WTP1|T3-00904	GCA_014103065.1	WTP	Wastewater influent sample	3	WTP1	Influent	WTP1	Klebsiella	Klebsiella pneumoniae	20	8	13	0	5960334	NA	NA	RHBSTW-00904
cfre	SAMN15148674	SRR12298691	SRR11948904	Nanopore	WTP3|T2-00658	GCA_013739375.1	WTP	Wastewater effluent sample	2	WTP3	Effluent	WTP3	Citrobacter	Citrobacter freundii	22	4	5	1	5170324	51.6	NA	RHBSTW-00658
ecol	SAMN15148028	SRR12299052	SRR11949010	PacBio	RH07|T1-C16	GCA_013924705.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH07	Escherichia	Escherichia coli	5082	2	4	0	5306704	NA	B1	RHB07-C16
ecol	SAMN15148214	SRR12298893	SRR11949219	Nanopore	RH12|T2-C07	GCA_013884935.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	155	3	4	1	4980758	50.7	B1	RHB23-C07
ecol	SAMN15148073	SRR12299019	SRR11948985	PacBio	RH10|T1-C16	GCA_013899605.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH10	Escherichia	Escherichia coli	3891	2	3	1	5095894	50.7	A	RHB11-C16
cxxx	SAMN15148737	SRR12299122	SRR11948716	Nanopore	WTP1|T3-00903	GCA_013727235.1	WTP	Wastewater influent sample	3	WTP1	Influent	WTP1	Citrobacter	Citrobacter sp.	110	4	5	1	5605421	52	NA	RHBSTW-00903
ecol	SAMN15148334	SRR12299162	SRR11949182	Nanopore	RH14|T3-C19	GCA_013823865.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia coli	442	1	2	1	5080680	50.7	B1	RHB33-C19
efer	SAMN15148384	SRR12299034	SRR11948826	Nanopore	RH04|T3-C04	GCA_013813425.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH04	Escherichia	Escherichia fergusonii	NA	2	3	1	4622715	50	fergusonii	RHB38-C04
ecol	SAMN15148507	SRR12298402	SRR11948801	Nanopore	WTP1|T1-00136	GCA_014104025.1	WTP	Wastewater influent sample	1	WTP1	Influent	WTP1	Escherichia	Escherichia coli	212	7	10	0	4915525	NA	B1	RHBSTW-00136
ecol	SAMN15148096	SRR12298970	SRR11949106	PacBio	RH03|T1-C09	GCA_013899095.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	7651	0	1	1	4773310	50.6	E	RHB13-C09
ecol	SAMN15148163	SRR12298520	SRR11948981	Nanopore	RH14|T2-C06	GCA_014105325.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia coli	118	2	9	0	5234086	NA	E	RHB19-C06
ecol	SAMN15148179	SRR12298478	SRR11948647	Nanopore	RH10|T2-C13	GCA_013890795.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH10	Escherichia	Escherichia coli	744	1	2	1	4760158	50.8	A	RHB20-C13
cfre	SAMN15148631	SRR12298766	SRR11948706	Nanopore	WTP5|T2-00486	GCA_013748235.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP5	Downstream	WTP5	Citrobacter	Citrobacter freundii	150	3	4	1	5088667	51.7	NA	RHBSTW-00486
cfre	SAMN15148551	SRR12298353	SRR11949096	Nanopore	WTP3|T1-00228	GCA_014103735.1	WTP	Wastewater effluent sample	1	WTP3	Effluent	WTP3	Citrobacter	Citrobacter freundii	166	4	24	0	5595975	NA	NA	RHBSTW-00228
cfre	SAMN15148718	SRR12299143	SRR11949267	Nanopore	WTP5|T3-00858	GCA_013729995.1	WTP	Wastewater influent sample	3	WTP5	Influent	WTP5	Citrobacter	Citrobacter freundii	17	3	4	1	5039179	52	NA	RHBSTW-00858
ecol	SAMN15148329	SRR12299167	SRR11949187	Nanopore	RH14|T3-C11	GCA_013824535.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia coli	124	3	4	1	5409268	50.8	B1	RHB33-C11
ecol	SAMN15148098	SRR12298967	SRR11949103	Nanopore	RH03|T1-C14	GCA_013602835.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	657	10	12	1	5193338	51	G	RHB13-C14
ecol	SAMN15148257	SRR12298796	SRR11949052	Nanopore	RH04|T2-C04	GCA_013832525.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH04	Escherichia	Escherichia coli	10	2	3	1	4829762	50.7	A	RHB27-C04
eclo	SAMN15148511	SRR12298398	SRR11948947	PacBio	WTP1|T1-00140	GCA_013624605.1	WTP	Wastewater influent sample	1	WTP1	Influent	WTP1	Enterobacter	Enterobacter cloacae	286	2	3	1	5010945	55.1	NA	RHBSTW-00140
cfre	SAMN15148447	SRR12298492	SRR11949017	Nanopore	WTP4|T1-00006	GCA_013798355.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Citrobacter	Citrobacter freundii	NA	3	4	1	5306701	52.4	NA	RHBSTW-00006
ecol	SAMN15148418	SRR12298549	SRR11948954	Nanopore	RH08|T3-C21	GCA_013803745.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	NA	1	2	1	4967139	50.8	B2	RHB40-C21
ecol	SAMN15147975	SRR12298855	SRR11948771	Nanopore	RH01|T1-C05	GCA_014109005.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH01	Escherichia	Escherichia coli	NA	5	6	1	4587166	50.9	A	RHB03-C05
ecol	SAMN15148097	SRR12298968	SRR11949104	PacBio	RH03|T1-C13	GCA_013899115.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	295	4	5	1	5082553	50.9	B1	RHB13-C13
efer	SAMN15148325	SRR12298623	SRR11949192	Nanopore	RH14|T3-C04	GCA_013819325.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia fergusonii	NA	4	5	1	5004593	50	fergusonii	RHB33-C04
ecol	SAMN15148169	SRR12298513	SRR11948974	Nanopore	RH14|T2-C14	GCA_013709935.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia coli	1228	6	17	1	5111978	50.7	D	RHB19-C14
ecol	SAMN15148706	SRR12298608	SRR11948869	Nanopore	WTP5|T3-00828	GCA_014103155.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP5	Downstream	WTP5	Escherichia	Escherichia coli	191	0	7	0	4764303	NA	A	RHBSTW-00828
ecol	SAMN15148526	SRR12298382	SRR11949177	Nanopore	WTP1|T1-00177	GCA_013790145.1	WTP	Freshwater sample from upstream of wastewater treatment work	1	WTP1	Upstream	WTP1	Escherichia	Escherichia coli	607	5	6	1	5499497	50.9	A	RHBSTW-00177
cfre	SAMN15148588	SRR12298837	SRR11949139	PacBio	WTP2|T1-00350	GCA_013751655.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP2	Downstream	WTP2	Citrobacter	Citrobacter freundii	11	1	2	1	5037194	52.1	NA	RHBSTW-00350
efer	SAMN15148291	SRR12298660	SRR11949031	Nanopore	RH02|T3-C06	GCA_014104895.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Escherichia	Escherichia fergusonii	NA	1	8	0	4877947	NA	fergusonii	RHB30-C06
ecol	SAMN15148565	SRR12298911	SRR11949081	PacBio	WTP2|T1-00303	GCA_013786165.1	WTP	Wastewater influent sample	1	WTP2	Influent	WTP2	Escherichia	Escherichia coli	549	2	3	1	4874466	50.6	D	RHBSTW-00303
ecol	SAMN15148412	SRR12298604	SRR11948961	Nanopore	RH08|T3-C07	GCA_013804645.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	NA	1	2	1	4967137	50.8	B2	RHB40-C07
ecol	SAMN15148197	SRR12298458	SRR11949125	Nanopore	RH07|T2-C01	GCA_014105125.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH07	Escherichia	Escherichia coli	58	2	8	0	4984529	NA	B1	RHB22-C01
cfre	SAMN15148277	SRR12298747	SRR11949046	Nanopore	RH11|T3-C07	GCA_013828645.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH11	Citrobacter	Citrobacter freundii	NA	0	1	1	4755731	52.7	NA	RHB29-C07
cfre	SAMN15148085	SRR12299006	SRR11948854	Nanopore	RH09|T1-C19	GCA_013899365.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH09	Citrobacter	Citrobacter freundii	NA	1	2	1	4890346	51.7	NA	RHB12-C19
ecol	SAMN15148195	SRR12298461	SRR11949128	Nanopore	RH06|T2-C12	GCA_013888015.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH06	Escherichia	Escherichia coli	2111	2	3	1	4970033	50.8	B1	RHB21-C12
ecol	SAMN15148295	SRR12298656	SRR11949209	Nanopore	RH02|T3-C16	GCA_013824985.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Escherichia	Escherichia coli	10	5	6	1	5270383	50.7	A	RHB30-C16
eclo	SAMN15148484	SRR12298428	SRR11949303	PacBio	WTP5|T1-00101	GCA_013708455.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP5	Downstream	WTP5	Enterobacter	Enterobacter cloacae	286	3	8	1	4988781	55.2	NA	RHBSTW-00101
ecol	SAMN15147992	SRR12298939	SRR11948742	PacBio	RH13|T1-C20	GCA_013712565.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	23	3	10	1	4889651	50.7	C	RHB04-C20
ecol	SAMN15148301	SRR12298649	SRR11949202	Nanopore	RH10|T3-C04	GCA_013822325.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH10	Escherichia	Escherichia coli	1309	2	3	1	4987248	50.8	A	RHB31-C04
ecol	SAMN15148323	SRR12298625	SRR11949194	Nanopore	RH13|T3-C21	GCA_014104795.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH13	Escherichia	Escherichia coli	2028	2	6	0	5006105	NA	B1	RHB32-C21
cfre	SAMN15148355	SRR12299114	SRR11949382	Nanopore	RH06|T3-C18	GCA_013816655.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH06	Citrobacter	Citrobacter freundii	NA	0	1	1	5112878	51.6	NA	RHB35-C18
cfre	SAMN15148428	SRR12298538	SRR11949157	Nanopore	RH01|T3-C16	GCA_013801705.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH01	Citrobacter	Citrobacter freundii	NA	0	1	1	4861768	52.5	NA	RHB41-C16
cfre	SAMN15147966	SRR12298574	SRR11949337	PacBio	RH02|T1-C11	GCA_014106325.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH02	Citrobacter	Citrobacter freundii	NA	4	10	0	5430840	NA	NA	RHB02-C11
eclo	SAMN15148534	SRR12298373	SRR11949168	PacBio	WTP1|T1-00198	GCA_013744415.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Enterobacter	Enterobacter cloacae	NA	3	4	1	4861737	55.5	NA	RHBSTW-00198
cfre	SAMN15148750	SRR12299059	SRR11949343	Nanopore	WTP1|T3-00942	GCA_013725165.1	WTP	Wastewater effluent sample	3	WTP1	Effluent	WTP1	Citrobacter	Citrobacter freundii	167	1	2	1	5609720	51.6	NA	RHBSTW-00942
ecol	SAMN15148270	SRR12298755	SRR11949396	Nanopore	RH01|T2-C14	GCA_013829905.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH01	Escherichia	Escherichia coli	10	1	2	1	4790502	50.7	A	RHB28-C14
ecol	SAMN15148293	SRR12298658	SRR11949211	Nanopore	RH02|T3-C09	GCA_013825525.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH02	Escherichia	Escherichia coli	953	8	9	1	5604443	50.7	A	RHB30-C09
eclo	SAMN15148453	SRR12298486	SRR11949321	Nanopore	WTP4|T1-00016	GCA_013635255.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Enterobacter	Enterobacter cloacae	145	3	4	1	5034201	55.1	NA	RHBSTW-00016
ecol	SAMN15148472	SRR12298441	SRR11948786	PacBio	WTP5|T1-00072	GCA_013796065.1	WTP	Wastewater influent sample	1	WTP5	Influent	WTP5	Escherichia	Escherichia coli	12	1	2	1	5364121	50.5	B2	RHBSTW-00072
ecol	SAMN15148554	SRR12298923	SRR11949093	Nanopore	WTP3|T1-00263	GCA_014103675.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP3	Downstream	WTP3	Escherichia	Escherichia coli	5540	2	8	0	4949832	NA	cladeV	RHBSTW-00263
ecol	SAMN15148370	SRR12299097	SRR11949365	Nanopore	RH07|T3-C20	GCA_013814285.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH07	Escherichia	Escherichia coli	1300	1	2	1	5279677	50.5	E	RHB36-C20
eclo	SAMN15148725	SRR12299136	SRR11948730	Nanopore	WTP5|T3-00872	GCA_013728935.1	WTP	Wastewater effluent sample	3	WTP5	Effluent	WTP5	Enterobacter	Enterobacter cloacae	NA	1	2	1	4987110	55.8	NA	RHBSTW-00872
ecol	SAMN15148020	SRR12298688	SRR11948901	PacBio	RH07|T1-C03	GCA_013900185.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH07	Escherichia	Escherichia coli	13	1	2	1	4983560	50.8	B1	RHB07-C03
koxy	SAMN15148529	SRR12298378	SRR11949173	Nanopore	WTP1|T1-00181	GCA_013624225.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Klebsiella	Klebsiella oxytoca	NA	5	6	1	6091660	55.9	NA	RHBSTW-00181
ecol	SAMN15148303	SRR12298647	SRR11949200	Nanopore	RH10|T3-C08	GCA_013709615.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH10	Escherichia	Escherichia coli	10	3	10	1	5180438	50.8	A	RHB31-C08
eclo	SAMN15148668	SRR12298697	SRR11948910	Nanopore	WTP3|T2-00630	GCA_014103425.1	WTP	Wastewater influent sample	2	WTP3	Influent	WTP3	Enterobacter	Enterobacter cloacae	486	5	10	0	5074687	NA	NA	RHBSTW-00630
eclo	SAMN15148634	SRR12298736	SRR11948703	Nanopore	WTP5|T2-00490	GCA_013736395.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP5	Downstream	WTP5	Enterobacter	Enterobacter cloacae	286	5	6	1	5298566	55.1	NA	RHBSTW-00490
ecol	SAMN15147981	SRR12298665	SRR11949036	PacBio	RH01|T1-C22	GCA_013713865.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH01	Escherichia	Escherichia coli	6438	8	17	1	5217082	50.6	A	RHB03-C22
ecol	SAMN15148309	SRR12298640	SRR11948759	Nanopore	RH10|T3-C18	GCA_013821385.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH10	Escherichia	Escherichia coli	3381	1	2	1	5175651	50.7	E	RHB31-C18
ecol	SAMN15148156	SRR12298528	SRR11949283	Nanopore	RH13|T2-C12	GCA_013893255.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH13	Escherichia	Escherichia coli	8853	3	4	1	5292406	50.6	E	RHB18-C12
ecol	SAMN15148532	SRR12298375	SRR11949170	PacBio	WTP1|T1-00187	GCA_013786785.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP1	Downstream	WTP1	Escherichia	Escherichia coli	8418	0	1	1	4763430	50.7	D	RHBSTW-00187
ecol	SAMN15148147	SRR12298561	SRR11949292	Nanopore	RH03|T2-C12	GCA_013894415.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH03	Escherichia	Escherichia coli	NA	1	2	1	5403934	50.4	D	RHB17-C12
cfre	SAMN15148504	SRR12298406	SRR11948805	PacBio	WTP1|T1-00132	GCA_014104005.1	WTP	Wastewater influent sample	1	WTP1	Influent	WTP1	Citrobacter	Citrobacter freundii	323	1	3	0	5313885	NA	NA	RHBSTW-00132
ecol	SAMN15148279	SRR12298745	SRR11949044	Nanopore	RH11|T3-C09	GCA_013828065.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH11	Escherichia	Escherichia coli	1086	1	2	1	5244474	50.6	B1	RHB29-C09
ecol	SAMN15148415	SRR12298601	SRR11948958	Nanopore	RH08|T3-C11	GCA_013803905.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	NA	1	2	1	4967139	50.8	B2	RHB40-C11
ecol	SAMN15148034	SRR12298980	SRR11949434	PacBio	RH06|T1-C12	GCA_013900105.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	1622	0	1	1	4986905	50.8	A	RHB08-C12
ecol	SAMN15148722	SRR12299139	SRR11949263	Nanopore	WTP5|T3-00863	GCA_013729295.1	WTP	Wastewater effluent sample	3	WTP5	Effluent	WTP5	Escherichia	Escherichia coli	206	3	4	1	4946156	50.6	A	RHBSTW-00863
ecol	SAMN15148555	SRR12298922	SRR11949092	PacBio	WTP3|T1-00265	GCA_014103665.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP3	Downstream	WTP3	Escherichia	Escherichia coli	5540	2	9	0	4949888	NA	cladeV	RHBSTW-00265
cxxx	SAMN15148682	SRR12298682	SRR11948633	Nanopore	WTP2|T2-00678	GCA_013738915.1	WTP	Wastewater influent sample	2	WTP2	Influent	WTP2	Citrobacter	Citrobacter sp.	110	4	5	1	5498621	52.1	NA	RHBSTW-00678
efer	SAMN15148225	SRR12298857	SRR11948773	Nanopore	RH15|T2-C08	GCA_013838265.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH15	Escherichia	Escherichia fergusonii	5434	0	1	1	4457616	50.1	fergusonii	RHB24-C08
ecol	SAMN15148010	SRR12298874	SRR11948686	PacBio	RH14|T1-C05	GCA_014042135.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	NA	6	15	0	5138954	NA	E	RHB06-C05
ecol	SAMN15148006	SRR12298370	SRR11949165	Nanopore	RH12|T1-C24	GCA_013711455.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH12	Escherichia	Escherichia coli	1102	3	8	1	4952314	50.9	A	RHB05-C24
eclo	SAMN15148685	SRR12298679	SRR11948630	Nanopore	WTP2|T2-00695	GCA_013733395.1	WTP	Wastewater effluent sample	2	WTP2	Effluent	WTP2	Enterobacter	Enterobacter cloacae	NA	5	6	1	5009672	55.9	NA	RHBSTW-00695
efer	SAMN15148373	SRR12299046	SRR11949362	Nanopore	RH15|T3-C02	GCA_014104615.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH15	Escherichia	Escherichia fergusonii	NA	4	85	0	4648192	NA	fergusonii	RHB37-C02
ecol	SAMN15148318	SRR12298630	SRR11948749	Nanopore	RH13|T3-C12	GCA_014104835.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH13	Escherichia	Escherichia coli	3494	3	8	0	4984373	NA	B1	RHB32-C12
ecol	SAMN15148599	SRR12298825	SRR11948677	Nanopore	WTP4|T2-00392	GCA_013785665.1	WTP	Wastewater effluent sample	2	WTP4	Effluent	WTP4	Escherichia	Escherichia coli	1086	0	1	1	4844929	50.7	B1	RHBSTW-00392
ecol	SAMN15148726	SRR12299135	SRR11948729	Nanopore	WTP1|T3-00875	GCA_013728735.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP1	Downstream	WTP1	Escherichia	Escherichia coli	38	1	2	1	5466532	50.6	D	RHBSTW-00875
cfre	SAMN15148753	SRR12299056	SRR11949014	Nanopore	WTP3|T3-00965	GCA_013724765.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP3	Upstream	WTP3	Citrobacter	Citrobacter freundii	NA	2	3	1	5512203	51.9	NA	RHBSTW-00965
ecol	SAMN15148171	SRR12298511	SRR11948972	Nanopore	RH14|T2-C21	GCA_013891675.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia coli	2614	1	2	1	5236786	50.6	E	RHB19-C21
cxxx	SAMN15148180	SRR12298477	SRR11948646	Nanopore	RH10|T2-C15	GCA_013890595.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH10	Citrobacter	Citrobacter sp.	NA	1	2	1	4992648	53.4	NA	RHB20-C15
cfre	SAMN15148717	SRR12299168	SRR11949268	Nanopore	WTP5|T3-00857	GCA_013730455.1	WTP	Wastewater influent sample	3	WTP5	Influent	WTP5	Citrobacter	Citrobacter freundii	17	3	4	1	5039179	52	NA	RHBSTW-00857
ecol	SAMN15148598	SRR12298826	SRR11948678	Nanopore	WTP4|T2-00386	GCA_013750375.1	WTP	Wastewater effluent sample	2	WTP4	Effluent	WTP4	Escherichia	Escherichia coli	88	1	2	1	4832143	50.8	C	RHBSTW-00386
cfre	SAMN15148558	SRR12298918	SRR11949088	PacBio	WTP3|T1-00269	GCA_013706575.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP3	Downstream	WTP3	Citrobacter	Citrobacter freundii	NA	4	8	1	5381910	52.5	NA	RHBSTW-00269
ecol	SAMN15148457	SRR12298481	SRR11949316	PacBio	WTP4|T1-00026	GCA_014104325.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP4	Downstream	WTP4	Escherichia	Escherichia coli	1415	1	8	0	4777978	NA	A	RHBSTW-00026
ecol	SAMN15148164	SRR12298519	SRR11948980	Nanopore	RH14|T2-C07	GCA_014105275.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH14	Escherichia	Escherichia coli	5614	2	13	0	4992359	NA	B1	RHB19-C07
ecol	SAMN15148330	SRR12299166	SRR11949186	Nanopore	RH14|T3-C12	GCA_013824345.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia coli	10	5	6	1	5237163	50.6	A	RHB33-C12
